ID1;HHID;NRO_ORDEN_ID;QH30M;QH31M;QH32M_M;QH32M_Y;QH33M
2022;      036400201;1;1;35;10;2020; 
2022;      036800701;1;1;78;11;2020; 
2022;      036805001;1;2;49;3;2020;4
2022;      037613401;1;1;49;2;2021; 
2022;      038503601;1;2;60;6;2019; 
2022;      038504001;1;2;96;1;2022; 
2022;      038703101;1;1;82;6;2021; 
2022;      038705701;1;1;69;9;2020; 
2022;      038819201;1;2;80;2;2018; 
2022;      038905301;1;1;0;4;2022; 
2022;      038908301;1;2;87;11;2021; 
2022;      038909501;1;2;97;8;2020; 
2022;      039207201;1;2;84;1;2022; 
2022;      039219601;1;1;79;4;2021; 
2022;      039303001;1;2;74;5;2019; 
2022;      039303001;2;2;53;5;2019; 
2022;      039402401;1;2;72;2;2020; 
2022;      039410001;1;1;90;11;2021; 
2022;      039416601;1;2;100;1;2021; 
2022;      040107301;1;2;80;3;2018; 
2022;      040112601;1;2;24;2;2021;4
2022;      040112601;2;1;21;3;2021; 
2022;      040115901;1;1;45;7;2019; 
2022;      040115901;2;2;60;4;2020; 
2022;      040115901;3;2;48;3;2021;4
2022;      040413001;1;1;62;3;2021; 
2022;      040702701;1;1;38;7;2020; 
2022;      040705101;1;2;73;5;2017; 
2022;      040901801;1;1;33;3;2022; 
2022;      040912501;1;2;91;3;2019; 
2022;      040912501;2;1;41;5;2020; 
2022;      041109001;1;2;80;10;2018; 
2022;      041115101;1;2;80;5;2020; 
2022;      041115101;2;2;48;5;2020;4
2022;      041805301;1;2;82;8;2021; 
2022;      041807301;1;2;85;2;2018; 
2022;      041807301;2;1;64;5;2018; 
2022;      042012101;1;1;61;1;2021; 
2022;      042202401;1;1;85;1;2022; 
2022;      042206401;1;2;62;12;2021; 
2022;      042306201;1;2;87;3;2019; 
2022;      042708301;1;2;79;2;2021; 
2022;      042815201;1;2;79;12;2021; 
2022;      043006101;1;1;27;2;2019; 
2022;      043201101;1;1;55;12;2020; 
2022;      043201101;2;2;22;4;2021;4
2022;      043800601;1;2;57;2;2021; 
2022;      043801001;1;2;60;10;2020; 
2022;      043804201;1;1;85;4;2021; 
2022;      044109801;1;1;5;3;2018; 
2022;      044403201;1;2;99;6;2021; 
2022;      044701201;1;2;62;12;2020; 
2022;      044701301;1;1;78;10;2021; 
2022;      045003101;1;1;73;9;2020; 
2022;      045003201;1;1;75;6;2021; 
2022;      045108001;1;2;83;4;2021; 
2022;      045201701;1;2;80;5;2021; 
2022;      045212701;1;1;80;5;2018; 
2022;      045502201;1;2;85;2;2021; 
2022;      045604901;1;1;13;2;2017; 
2022;      046201301;1;2;98;4;2018; 
